antibody,target,subclass,cl_ml_day_kg,q_ml_day_kg,vc_ml_kg,vp_ml_kg,reference,linearkinetics
Alirocumab,PCSK9,IgG1,3.59,5.36,38.5,33.7,[78],Nonlinear
Amatuximab/MORAb-009,Mesothelin,IgG1,9.56,4.7,51.8,34.9,[79],Nonlinear
AMG811,IFN-γ,IgG1,2.54,9.52,21.4,30.6,[80],Nonlinear
ASP5094,Alpha-9 integrin,IgG1,2.9,5.98,45.1,31.3,[81],Nonlinear
BIIB023,TWEAK,IgG1,2.4,7.55,41.2,33.5,[82],Nonlinear
Cetuximab,EGFR,IgG1,6.18,11.5,42.2,55.5,[83],Nonlinear
Daratumumab,CD38,IgG1,2.54,13.8,63.1,72.9,[84],Nonlinear
Domagrozumab,Myostatin/GDF8,IgG1,2.42,7.68,45.7,34,[85],Nonlinear
Efalizumab ,CD11a,IgG1,7.33,6.24,64.3,32.3,[86],Nonlinear
Elotuzumab/BMS-901608/HuLuc63,SLAMF7,IgG1,1.17,8.85,52.9,29.1,[87],Nonlinear
Emapalumab/NI-0501,IFN-γ,IgG1,3.98,35,59.4,74,[88],Nonlinear
Etrolizumab,β7 subunit of α4β7 and αEβ7 integrins ,IgG1,4.04,7.24,34.3,27.7,[89],Nonlinear
Lacnotuzumab,CSF-1,IgG1,2.67,9.47,48.5,35.3,[90],Nonlinear
Lumretuzumab,HER3,IgG1,3.73,7.33,37.2,20.9,[91],Nonlinear
Margetuximab/MGAH22,HER2,IgG1,4.27,12.6,53.3,53.3,[92],Nonlinear
Matuzumab,EGFR,IgG1,4.9,12.9,52.4,25.9,[93],Nonlinear
MNRP1685A ,Neuropilin-1,IgG1,8.53,19.6,51,79.1,[94],Nonlinear
MTRX1011A,CD4,IgG1,4.67,17.3,43.6,20.9,[95],Nonlinear
Necitumumab ,EGFR,IgG1,3.85,6.19,48,46.3,[96],Nonlinear
Ofatumumab,CD20,IgG1,2.4,7.1,43.5,27.6,[97],Nonlinear
Sibrotuzumab,Fibroblast activation protein,IgG1,7.07,12,55.1,42.5,[98],Nonlinear
Siplizumab/MEDI-507,CD2,IgG1,2.24,37.7,27.9,36,[99],Nonlinear
Tocilizumab,IL-6R,IgG1,4.29,2.86,50,41.4,[100],Nonlinear
Trastuzumab,HER2,IgG1,3.71,5.9,58.5,60.3,[101],Nonlinear
TRX1,CD4,IgG1,3.25,27.1,41.7,31,[102],Nonlinear
Vedolizumab,α4β7 integrin,IgG1,2.31,1.76,46.9,24.3,[103],Nonlinear
AMG317,IL-4Rα,IgG2,10.1,7.88,21.3,60.3,[104],Nonlinear
Bococizumab/RN316/PF-04950615,PCSK9,IgG2,3.01,4.05,39.3,43.2,[105],Nonlinear
Brodalumab/AMG827,IL-17RA,IgG2,2.62,9.52,45.2,31.1,[106],Nonlinear
Denosumab/AMG162,RANKL,IgG2,1.11,13.8,37.7,20.6,[107],Nonlinear
EMD 525797/DI17E6,αv integrins,IgG2,2.74,14.2,58.8,45.9,[108],Nonlinear
 Erenumab/AMG334,CGRP receptor,IgG2,2.86,44.6,57,36.4,[109],Nonlinear
Panitumumab,EGFR,IgG2,3.59,5.19,48.8,34.4,[110],Nonlinear
PF-00547659,MAdCAM,IgG2,2.77,4.7,45.8,30.1,[111],Nonlinear
Romosozumab/AMG785,Sclerostin,IgG2,3.57,7.71,34.3,37.1,[112],Nonlinear
Satralizumab/SA237,IL-6R,IgG2,2.32,6.76,43.6,16.8,[113],Nonlinear
Andecaliximab,MMP9,IgG4,1.41,4.8,86.7,16.3,[114],Nonlinear
Dupilumab/REGN668,IL-4Rα,IgG4,1.65,2.35,36.1,18.2,[115],Nonlinear
Hu5F9-G4,CD47,IgG4,2.91,16.7,53.1,32.4,[116],Nonlinear
Lirilumab/IPH2102,KIR2D,IgG4,2.47,8.86,56.4,43.9,[117],Nonlinear
Mavrilimumab/CAM-3001,GM-CSF-Ra,IgG4,4.29,24.3,40,80,[112],Nonlinear
Natalizumab,α4 integrin ,IgG4,2,5.38,50.1,24.3,[118],Nonlinear
Tabalumab,BAFF,IgG4,2,9.33,45.3,38.7,[119],Nonlinear
