labeling_type,dosage_form,route_of_administration,marketing_category,application_number,proprietaryname,generic_proper_name,spl_effective_date ,established_pharmacologic_class,initia_us_approval,company,marketing_date,ndc,active_ingredient_unii,active_ingredients,active_moiety_names,active_moiety_unii
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCUTANEOUS,BLA,102192,Annual Blue Grass; Bahia Grass; Brome Grass; Canadian Blue Grass; Canary Grass; Corn Grass; Couch Quack Grass; Cultivated Oat; Cultivated Rye; Cultivated Wheat,ANNUAL BLUE GRASS; BAHIA GRASS; BROME GRASS; CANADIAN BLUE GRASS; CANARY GRASS; CORN GRASS; COUCH QUACK GRASS; CULTIVATED OAT; CULTIVATED RYE; CULTIVATED WHEAT,12/4/2009,Non-Standardized Pollen Allergenic Extract,,NELCO LABORATORIES INC,1972/08/29-,36987-2267; 36987-2276; 36987-2284; 36987-2292; 36987-2300; 36987-2308; 36987-2316; 36987-2326; 36987-2334; 36987-2342; 36987-2360; 36987-2370; 36987-2378; 36987-2386; 36987-2396; 36987-2408; 36987-2416; 36987-2424; 36987-2434; 36987-2442,257GC6QO0Q; 2XO08315X1; 50HCQ1NYV5; 577VA5B4HP; 6AU0ZD8T1O; 74PD8J616H; 766QT72BK6; 7U437HHU5C; A7IKY24TR7; F1KAH8374D; FAY1Y90VJ9; GOA51670YV; I6KAZ8AO1O; ON2T85TA2O; V003SHB7VK; VJI0WKK736,AVENA SATIVA POLLEN; BOUTELOUA GRACILIS POLLEN; BROMUS INERMIS POLLEN; DISTICHLIS SPICATA POLLEN; ELYMUS REPENS POLLEN; LEYMUS CONDENSATUS POLLEN; LOLIUM PERENNE SSP. MULTIFLORUM POLLEN; PASCOPYRUM SMITHII POLLEN; PASPALUM NOTATUM POLLEN; PHALARIS ARUNDINACEA POLLEN,AVENA SATIVA POLLEN; BOUTELOUA GRACILIS POLLEN; BROMUS INERMIS POLLEN; DISTICHLIS SPICATA POLLEN; ELYMUS REPENS POLLEN; LEYMUS CONDENSATUS POLLEN; LOLIUM PERENNE SSP. MULTIFLORUM POLLEN; PASCOPYRUM SMITHII POLLEN; PASPALUM NOTATUM POLLEN; PHALARIS ARUNDINACEA POLLEN,257GC6QO0Q; 2XO08315X1; 50HCQ1NYV5; 577VA5B4HP; 6AU0ZD8T1O; 74PD8J616H; 766QT72BK6; 7U437HHU5C; A7IKY24TR7; F1KAH8374D; FAY1Y90VJ9; GOA51670YV; I6KAZ8AO1O; ON2T85TA2O; V003SHB7VK; VJI0WKK736
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCUTANEOUS,BLA,102192,Annual Blue Grass; Bahia Grass; Brome Grass; Canadian Blue Grass; Canary Grass; Corn Grass; Couch Quack Grass; Cultivated Oat; Cultivated Rye; Cultivated Wheat,ANNUAL BLUE GRASS; BAHIA GRASS; BROME GRASS; CANADIAN BLUE GRASS; CANARY GRASS; CORN GRASS; COUCH QUACK GRASS; CULTIVATED OAT; CULTIVATED RYE; CULTIVATED WHEAT,12/4/2009,Non-Standardized Pollen Allergenic Extract,,NELCO LABORATORIES INC,1972/08/29-,36987-2266; 36987-2275; 36987-2283; 36987-2291; 36987-2299; 36987-2307; 36987-2315; 36987-2325; 36987-2333; 36987-2341; 36987-2359; 36987-2369; 36987-2377; 36987-2385; 36987-2395; 36987-2407; 36987-2415; 36987-2423; 36987-2433; 36987-2441,257GC6QO0Q; 2XO08315X1; 50HCQ1NYV5; 577VA5B4HP; 6AU0ZD8T1O; 74PD8J616H; 766QT72BK6; 7U437HHU5C; A7IKY24TR7; F1KAH8374D; FAY1Y90VJ9; GOA51670YV; I6KAZ8AO1O; ON2T85TA2O; V003SHB7VK; VJI0WKK736,AVENA SATIVA POLLEN; BOUTELOUA GRACILIS POLLEN; BROMUS INERMIS POLLEN; DISTICHLIS SPICATA POLLEN; ELYMUS REPENS POLLEN; LEYMUS CONDENSATUS POLLEN; LOLIUM PERENNE SSP. MULTIFLORUM POLLEN; PASCOPYRUM SMITHII POLLEN; PASPALUM NOTATUM POLLEN; PHALARIS ARUNDINACEA POLLEN,AVENA SATIVA POLLEN; BOUTELOUA GRACILIS POLLEN; BROMUS INERMIS POLLEN; DISTICHLIS SPICATA POLLEN; ELYMUS REPENS POLLEN; LEYMUS CONDENSATUS POLLEN; LOLIUM PERENNE SSP. MULTIFLORUM POLLEN; PASCOPYRUM SMITHII POLLEN; PASPALUM NOTATUM POLLEN; PHALARIS ARUNDINACEA POLLEN,257GC6QO0Q; 2XO08315X1; 50HCQ1NYV5; 577VA5B4HP; 6AU0ZD8T1O; 74PD8J616H; 766QT72BK6; 7U437HHU5C; A7IKY24TR7; F1KAH8374D; FAY1Y90VJ9; GOA51670YV; I6KAZ8AO1O; ON2T85TA2O; V003SHB7VK; VJI0WKK736
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCUTANEOUS,BLA,102192,Annual Blue Grass; Bahia Grass; Brome Grass; Canadian Blue Grass; Canary Grass; Corn Grass; Couch Quack Grass; Cultivated Oat; Cultivated Rye; Cultivated Wheat,ANNUAL BLUE GRASS; BAHIA GRASS; BROME GRASS; CANADIAN BLUE GRASS; CANARY GRASS; CORN GRASS; COUCH QUACK GRASS; CULTIVATED OAT; CULTIVATED RYE; CULTIVATED WHEAT,12/4/2009,Non-Standardized Pollen Allergenic Extract,,NELCO LABORATORIES INC,1972/08/29-,36987-2265; 36987-2274; 36987-2282; 36987-2290; 36987-2298; 36987-2306; 36987-2314; 36987-2324; 36987-2332; 36987-2340; 36987-2358; 36987-2368; 36987-2376; 36987-2384; 36987-2394; 36987-2406; 36987-2414; 36987-2422; 36987-2432; 36987-2440,257GC6QO0Q; 2XO08315X1; 50HCQ1NYV5; 577VA5B4HP; 6AU0ZD8T1O; 74PD8J616H; 766QT72BK6; 7U437HHU5C; A7IKY24TR7; F1KAH8374D; FAY1Y90VJ9; GOA51670YV; I6KAZ8AO1O; ON2T85TA2O; V003SHB7VK; VJI0WKK736,AVENA SATIVA POLLEN; BOUTELOUA GRACILIS POLLEN; BROMUS INERMIS POLLEN; DISTICHLIS SPICATA POLLEN; ELYMUS REPENS POLLEN; LEYMUS CONDENSATUS POLLEN; LOLIUM PERENNE SSP. MULTIFLORUM POLLEN; PASCOPYRUM SMITHII POLLEN; PASPALUM NOTATUM POLLEN; PHALARIS ARUNDINACEA POLLEN,AVENA SATIVA POLLEN; BOUTELOUA GRACILIS POLLEN; BROMUS INERMIS POLLEN; DISTICHLIS SPICATA POLLEN; ELYMUS REPENS POLLEN; LEYMUS CONDENSATUS POLLEN; LOLIUM PERENNE SSP. MULTIFLORUM POLLEN; PASCOPYRUM SMITHII POLLEN; PASPALUM NOTATUM POLLEN; PHALARIS ARUNDINACEA POLLEN,257GC6QO0Q; 2XO08315X1; 50HCQ1NYV5; 577VA5B4HP; 6AU0ZD8T1O; 74PD8J616H; 766QT72BK6; 7U437HHU5C; A7IKY24TR7; F1KAH8374D; FAY1Y90VJ9; GOA51670YV; I6KAZ8AO1O; ON2T85TA2O; V003SHB7VK; VJI0WKK736
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCUTANEOUS,BLA,102192,Annual Blue Grass; Bahia Grass; Brome Grass; Canadian Blue Grass; Canary Grass; Corn Grass; Couch Quack Grass; Cultivated Oat; Cultivated Rye; Cultivated Wheat,ANNUAL BLUE GRASS; BAHIA GRASS; BROME GRASS; CANADIAN BLUE GRASS; CANARY GRASS; CORN GRASS; COUCH QUACK GRASS; CULTIVATED OAT; CULTIVATED RYE; CULTIVATED WHEAT,12/4/2009,Non-Standardized Pollen Allergenic Extract,,NELCO LABORATORIES INC,1972/08/29-,36987-2269; 36987-2278; 36987-2286; 36987-2294; 36987-2302; 36987-2310; 36987-2318; 36987-2328; 36987-2336; 36987-2344; 36987-2362; 36987-2372; 36987-2380; 36987-2388; 36987-2398; 36987-2410; 36987-2418; 36987-2426; 36987-2436; 36987-2444,257GC6QO0Q; 2XO08315X1; 50HCQ1NYV5; 577VA5B4HP; 6AU0ZD8T1O; 74PD8J616H; 766QT72BK6; 7U437HHU5C; A7IKY24TR7; F1KAH8374D; FAY1Y90VJ9; GOA51670YV; I6KAZ8AO1O; ON2T85TA2O; V003SHB7VK; VJI0WKK736,AVENA SATIVA POLLEN; BOUTELOUA GRACILIS POLLEN; BROMUS INERMIS POLLEN; DISTICHLIS SPICATA POLLEN; ELYMUS REPENS POLLEN; LEYMUS CONDENSATUS POLLEN; LOLIUM PERENNE SSP. MULTIFLORUM POLLEN; PASCOPYRUM SMITHII POLLEN; PASPALUM NOTATUM POLLEN; PHALARIS ARUNDINACEA POLLEN,AVENA SATIVA POLLEN; BOUTELOUA GRACILIS POLLEN; BROMUS INERMIS POLLEN; DISTICHLIS SPICATA POLLEN; ELYMUS REPENS POLLEN; LEYMUS CONDENSATUS POLLEN; LOLIUM PERENNE SSP. MULTIFLORUM POLLEN; PASCOPYRUM SMITHII POLLEN; PASPALUM NOTATUM POLLEN; PHALARIS ARUNDINACEA POLLEN,257GC6QO0Q; 2XO08315X1; 50HCQ1NYV5; 577VA5B4HP; 6AU0ZD8T1O; 74PD8J616H; 766QT72BK6; 7U437HHU5C; A7IKY24TR7; F1KAH8374D; FAY1Y90VJ9; GOA51670YV; I6KAZ8AO1O; ON2T85TA2O; V003SHB7VK; VJI0WKK736
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCUTANEOUS,BLA,102192,Annual Blue Grass; Bahia Grass; Brome Grass; Canadian Blue Grass; Canary Grass; Corn Grass; Couch Quack Grass; Cultivated Oat; Cultivated Rye; Cultivated Wheat,ANNUAL BLUE GRASS; BAHIA GRASS; BROME GRASS; CANADIAN BLUE GRASS; CANARY GRASS; CORN GRASS; COUCH QUACK GRASS; CULTIVATED OAT; CULTIVATED RYE; CULTIVATED WHEAT,12/4/2009,Non-Standardized Pollen Allergenic Extract,,NELCO LABORATORIES INC,1972/08/29-,36987-2262; 36987-2271; 36987-2279; 36987-2287; 36987-2295; 36987-2303; 36987-2311; 36987-2321; 36987-2329; 36987-2337; 36987-2355; 36987-2365; 36987-2373; 36987-2381; 36987-2391; 36987-2403; 36987-2411; 36987-2419; 36987-2429; 36987-2437,257GC6QO0Q; 2XO08315X1; 50HCQ1NYV5; 577VA5B4HP; 6AU0ZD8T1O; 74PD8J616H; 766QT72BK6; 7U437HHU5C; A7IKY24TR7; F1KAH8374D; FAY1Y90VJ9; GOA51670YV; I6KAZ8AO1O; ON2T85TA2O; V003SHB7VK; VJI0WKK736,AVENA SATIVA POLLEN; BOUTELOUA GRACILIS POLLEN; BROMUS INERMIS POLLEN; DISTICHLIS SPICATA POLLEN; ELYMUS REPENS POLLEN; LEYMUS CONDENSATUS POLLEN; LOLIUM PERENNE SSP. MULTIFLORUM POLLEN; PASCOPYRUM SMITHII POLLEN; PASPALUM NOTATUM POLLEN; PHALARIS ARUNDINACEA POLLEN,AVENA SATIVA POLLEN; BOUTELOUA GRACILIS POLLEN; BROMUS INERMIS POLLEN; DISTICHLIS SPICATA POLLEN; ELYMUS REPENS POLLEN; LEYMUS CONDENSATUS POLLEN; LOLIUM PERENNE SSP. MULTIFLORUM POLLEN; PASCOPYRUM SMITHII POLLEN; PASPALUM NOTATUM POLLEN; PHALARIS ARUNDINACEA POLLEN,257GC6QO0Q; 2XO08315X1; 50HCQ1NYV5; 577VA5B4HP; 6AU0ZD8T1O; 74PD8J616H; 766QT72BK6; 7U437HHU5C; A7IKY24TR7; F1KAH8374D; FAY1Y90VJ9; GOA51670YV; I6KAZ8AO1O; ON2T85TA2O; V003SHB7VK; VJI0WKK736
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCUTANEOUS,BLA,102192,Annual Blue Grass; Bahia Grass; Brome Grass; Canadian Blue Grass; Canary Grass; Corn Grass; Couch Quack Grass; Cultivated Oat; Cultivated Rye; Cultivated Wheat,ANNUAL BLUE GRASS; BAHIA GRASS; BROME GRASS; CANADIAN BLUE GRASS; CANARY GRASS; CORN GRASS; COUCH QUACK GRASS; CULTIVATED OAT; CULTIVATED RYE; CULTIVATED WHEAT,12/4/2009,Non-Standardized Pollen Allergenic Extract,,NELCO LABORATORIES INC,1972/08/29-,36987-2264; 36987-2273; 36987-2281; 36987-2289; 36987-2297; 36987-2305; 36987-2313; 36987-2323; 36987-2331; 36987-2339; 36987-2357; 36987-2367; 36987-2375; 36987-2383; 36987-2393; 36987-2405; 36987-2413; 36987-2421; 36987-2431; 36987-2439,257GC6QO0Q; 2XO08315X1; 50HCQ1NYV5; 577VA5B4HP; 6AU0ZD8T1O; 74PD8J616H; 766QT72BK6; 7U437HHU5C; A7IKY24TR7; F1KAH8374D; FAY1Y90VJ9; GOA51670YV; I6KAZ8AO1O; ON2T85TA2O; V003SHB7VK; VJI0WKK736,AVENA SATIVA POLLEN; BOUTELOUA GRACILIS POLLEN; BROMUS INERMIS POLLEN; DISTICHLIS SPICATA POLLEN; ELYMUS REPENS POLLEN; LEYMUS CONDENSATUS POLLEN; LOLIUM PERENNE SSP. MULTIFLORUM POLLEN; PASCOPYRUM SMITHII POLLEN; PASPALUM NOTATUM POLLEN; PHALARIS ARUNDINACEA POLLEN,AVENA SATIVA POLLEN; BOUTELOUA GRACILIS POLLEN; BROMUS INERMIS POLLEN; DISTICHLIS SPICATA POLLEN; ELYMUS REPENS POLLEN; LEYMUS CONDENSATUS POLLEN; LOLIUM PERENNE SSP. MULTIFLORUM POLLEN; PASCOPYRUM SMITHII POLLEN; PASPALUM NOTATUM POLLEN; PHALARIS ARUNDINACEA POLLEN,257GC6QO0Q; 2XO08315X1; 50HCQ1NYV5; 577VA5B4HP; 6AU0ZD8T1O; 74PD8J616H; 766QT72BK6; 7U437HHU5C; A7IKY24TR7; F1KAH8374D; FAY1Y90VJ9; GOA51670YV; I6KAZ8AO1O; ON2T85TA2O; V003SHB7VK; VJI0WKK736
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCUTANEOUS,BLA,102192,Annual Blue Grass; Bahia Grass; Brome Grass; Canadian Blue Grass; Canary Grass; Corn Grass; Couch Quack Grass; Cultivated Oat; Cultivated Rye; Cultivated Wheat,ANNUAL BLUE GRASS; BAHIA GRASS; BROME GRASS; CANADIAN BLUE GRASS; CANARY GRASS; CORN GRASS; COUCH QUACK GRASS; CULTIVATED OAT; CULTIVATED RYE; CULTIVATED WHEAT,12/4/2009,Non-Standardized Pollen Allergenic Extract,,NELCO LABORATORIES INC,1972/08/29-,36987-2268; 36987-2277; 36987-2285; 36987-2293; 36987-2301; 36987-2309; 36987-2317; 36987-2327; 36987-2335; 36987-2343; 36987-2361; 36987-2371; 36987-2379; 36987-2387; 36987-2397; 36987-2409; 36987-2417; 36987-2425; 36987-2435; 36987-2443,257GC6QO0Q; 2XO08315X1; 50HCQ1NYV5; 577VA5B4HP; 6AU0ZD8T1O; 74PD8J616H; 766QT72BK6; 7U437HHU5C; A7IKY24TR7; F1KAH8374D; FAY1Y90VJ9; GOA51670YV; I6KAZ8AO1O; ON2T85TA2O; V003SHB7VK; VJI0WKK736,AVENA SATIVA POLLEN; BOUTELOUA GRACILIS POLLEN; BROMUS INERMIS POLLEN; DISTICHLIS SPICATA POLLEN; ELYMUS REPENS POLLEN; LEYMUS CONDENSATUS POLLEN; LOLIUM PERENNE SSP. MULTIFLORUM POLLEN; PASCOPYRUM SMITHII POLLEN; PASPALUM NOTATUM POLLEN; PHALARIS ARUNDINACEA POLLEN,AVENA SATIVA POLLEN; BOUTELOUA GRACILIS POLLEN; BROMUS INERMIS POLLEN; DISTICHLIS SPICATA POLLEN; ELYMUS REPENS POLLEN; LEYMUS CONDENSATUS POLLEN; LOLIUM PERENNE SSP. MULTIFLORUM POLLEN; PASCOPYRUM SMITHII POLLEN; PASPALUM NOTATUM POLLEN; PHALARIS ARUNDINACEA POLLEN,257GC6QO0Q; 2XO08315X1; 50HCQ1NYV5; 577VA5B4HP; 6AU0ZD8T1O; 74PD8J616H; 766QT72BK6; 7U437HHU5C; A7IKY24TR7; F1KAH8374D; FAY1Y90VJ9; GOA51670YV; I6KAZ8AO1O; ON2T85TA2O; V003SHB7VK; VJI0WKK736
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCUTANEOUS,BLA,102223,Annual Bluegrass; Bahia Grass; Canadian Bluegrass; Cattail; Cheat Brome Grass; Corn Pollen; Cultivated Oat Pollen; Cultivated Rye Grass; Cultivated Wheat; Johnson Grass Pollen,ANNUAL BLUEGRASS; BAHIA GRASS; CANADIAN BLUEGRASS; CATTAIL; CHEAT BROME GRASS; CORN POLLEN; CULTIVATED OAT POLLEN; CULTIVATED RYE GRASS; CULTIVATED WHEAT; JOHNSON GRASS POLLEN,11/13/2009,Non-Standardized Pollen Allergenic Extract,,ANTIGEN LABORATORIES INC,1974/03/23-; 1974/03/25-; 1992/04/13-; 1997/06/13-,49288-0062; 49288-0067; 49288-0068; 49288-0069; 49288-0074; 49288-0075; 49288-0081; 49288-0141; 49288-0142; 49288-0145; 49288-0146; 49288-0157; 49288-0238; 49288-0275; 49288-0276; 49288-0340; 49288-0346; 49288-0430; 49288-0453; 49288-0491,341PDX5PLM; 50HCQ1NYV5; 577VA5B4HP; 6AU0ZD8T1O; 70O1TP6H01; 74PD8J616H; 766QT72BK6; 7U437HHU5C; 9L67M8B78R; A7IKY24TR7; B43R30VP73; B55BD1QM4Q; F1KAH8374D; FAY1Y90VJ9; GOA51670YV; I6KAZ8AO1O; ON2T85TA2O; Q4T1SJ3046; UVC3Z60VTX; V003SHB7VK,ARRHENATHERUM ELATIUS POLLEN; AVENA SATIVA POLLEN; BETA VULGARIS POLLEN; BROMUS INERMIS POLLEN; BROMUS SECALINUS POLLEN; DISTICHLIS SPICATA POLLEN; ELYMUS REPENS POLLEN; HOLCUS LANATUS POLLEN; MELILOTUS ALBUS POLLEN; MELILOTUS OFFICINALIS POLLEN,ARRHENATHERUM ELATIUS POLLEN; AVENA SATIVA POLLEN; BETA VULGARIS POLLEN; BROMUS INERMIS POLLEN; BROMUS SECALINUS POLLEN; DISTICHLIS SPICATA POLLEN; ELYMUS REPENS POLLEN; HOLCUS LANATUS POLLEN; MELILOTUS ALBUS POLLEN; MELILOTUS OFFICINALIS POLLEN,341PDX5PLM; 50HCQ1NYV5; 577VA5B4HP; 6AU0ZD8T1O; 70O1TP6H01; 74PD8J616H; 766QT72BK6; 7U437HHU5C; 9L67M8B78R; A7IKY24TR7; B43R30VP73; B55BD1QM4Q; F1KAH8374D; FAY1Y90VJ9; GOA51670YV; I6KAZ8AO1O; ON2T85TA2O; Q4T1SJ3046; UVC3Z60VTX; V003SHB7VK
HUMAN PRESCRIPTION DRUG LABEL,KIT,INTRAVENOUS,BLA,761172,EBANGA,ANSUVIMAB,5/23/2022,Zaire Ebolavirus Glycoprotein-directed Antibody,2020,RIDGEBACK BIOTHERAPEUTICS LP,2020/12/21-,80673-777,TG8IQ19NG2,ANSUVIMAB,ANSUVIMAB,TG8IQ19NG2
HUMAN PRESCRIPTION DRUG LABEL,KIT,INTRAVENOUS,BLA,101447,FEIBA,ANTI-INHIBITOR COAGULANT COMPLEX,3/27/2024,Anti-inhibitor Coagulant Complex,1986,TAKEDA PHARMACEUTICALS AMERICA INC,1986/01/31-,64193-424; 64193-425; 64193-426,CS849DUN3M,ANTI-INHIBITOR COAGULANT COMPLEX,ANTI-INHIBITOR COAGULANT COMPLEX,CS849DUN3M
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,BLA,103869,Thymoglobulin,ANTI-THYMOCYTE GLOBULIN (RABBIT),10/8/2024,Immunoglobulin G,1998,GENZYME CORPORATION,1998/12/30-,58468-0080,D7RD81HE4W,LAPINE T-LYMPHOCYTE IMMUNE GLOBULIN,LAPINE T-LYMPHOCYTE IMMUNE GLOBULIN,D7RD81HE4W
HUMAN PRESCRIPTION DRUG LABEL,KIT,INTRAVENOUS,BLA,125771,ALTUVIIIO,"ANTIHEMOPHILIC FACTOR (RECOMBINANT), FC-VWF-XTEN FUSION PROTEIN-EHTL",9/5/2024,,2023,BIOVERATIV THERAPEUTICS INC,2023/02/22-,71104-978; 71104-979; 71104-981; 71104-982; 71104-983; 71104-984,WH7BHQ0RB4,EFANESOCTOCOG ALFA,EFANESOCTOCOG ALFA,WH7BHQ0RB4
HUMAN PRESCRIPTION DRUG LABEL,KIT,INTRAVENOUS,BLA,125795,ADZYNMA,APADAMTASE ALFA,8/30/2024,,2023,TAKEDA PHARMACEUTICALS AMERICA INC,2023/11/09-,64764-140; 64764-145,U5SFU33XUX,Apadamtase Alfa,Apadamtase Alfa,U5SFU33XUX
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCUTANEOUS,BLA,102192,Arabic Gum; Cat Flea; Dog Flea; Karaya Gum; Tragacanth Gum,ARABIC GUM; CAT FLEA; DOG FLEA; KARAYA GUM; TRAGACANTH GUM,12/10/2009,Non-Standardized Food Allergenic Extract; Non-Standardized Insect Allergenic Extract; Non-Standardized Plant Allergenic Extract,,NELCO LABORATORIES INC,1972/08/29-,36987-1638; 36987-1640; 36987-1642; 36987-1644; 36987-1646; 36987-1648; 36987-1802; 36987-1803; 36987-1846; 36987-1847,2944357O2O; 5C5403N26O; 5X9Y89ENI9; 73W9IQY50Q; LN7IM9RDEA,ACACIA; CTENOCEPHALIDES CANIS; CTENOCEPHALIDES FELIS; KARAYA GUM; TRAGACANTH,ACACIA; CTENOCEPHALIDES CANIS; CTENOCEPHALIDES FELIS; KARAYA GUM; TRAGACANTH,2944357O2O; 5C5403N26O; 5X9Y89ENI9; 73W9IQY50Q; LN7IM9RDEA
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,SUBCUTANEOUS,BLA,125513,STRENSIQ,ASFOTASE ALFA,7/17/2024,Tissue-nonspecific Alkaline Phosphatase,2015,ALEXION PHARMACEUTICALS INC,2015/10/23-,25682-010; 25682-013; 25682-016; 25682-019,Z633861EIM,ASFOTASE ALFA,ASFOTASE ALFA,Z633861EIM
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAMUSCULAR,BLA,761179,Rylaze,ASPARAGINASE ERWINIA CHRYSANTHEMI (RECOMBINANT)-RYWN,4/15/2024,Asparagine-specific Enzyme,2021,JAZZ PHARMACEUTICALS INC,2021/06/30-,68727-900,G4FQ3CKY5R,ASPARAGINASE,ASPARAGINASE,G4FQ3CKY5R
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS,BLA,761034,TECENTRIQ,ATEZOLIZUMAB,11/20/2024,Programmed Death Receptor-1 Blocking Antibody,2016,GENENTECH INC,2016/05/18-; 2019/03/08-,50242-917; 50242-918,52CMI0WC3Y,ATEZOLIZUMAB,ATEZOLIZUMAB,52CMI0WC3Y
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,SUBCUTANEOUS,BLA,761347,Tecentriq Hybreza,ATEZOLIZUMAB AND HYALURONIDASE-TQJS,9/25/2024,,2024,GENENTECH INC,2024/09/12-,50242-933,52CMI0WC3Y; 743QUY4VD8,ATEZOLIZUMAB; HYALURONIDASE (HUMAN RECOMBINANT),ATEZOLIZUMAB; HYALURONIDASE (HUMAN RECOMBINANT),52CMI0WC3Y; 743QUY4VD8
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS,BLA,761169,Inmazeb,"ATOLTIVIMAB, MAFTIVIMAB, AND ODESIVIMAB-EBGN",10/29/2024,,2020,REGENERON PHARMACEUTICALS INC,2020/10/14-; 2021/07/29-,61755-018; 61755-019,FJZ07Q63VY; KOP95331M4; UY9LQ8P6HW,atoltivimab; maftivimab; odesivimab,atoltivimab; maftivimab; odesivimab,FJZ07Q63VY; KOP95331M4; UY9LQ8P6HW
HUMAN PRESCRIPTION DRUG LABEL,IMPLANT,INTRA-ARTICULAR,BLA,103661,CARTICEL,AUTOLOGOUS CULTURED CHONDROCYTES,2/6/2017,Autologous Cultured Cell,1997,VERICEL CORPORATION,1905/06/19-,69866-1025,D5P3K3V822,autologous cultured chondrocytes,autologous cultured chondrocytes,D5P3K3V822
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,BLA,761194,Nexviazyme ngpt,AVALGLUCOSIDASE ALFA,9/26/2023,Hydrolytic Lysosomal Glycogen-specific Enzyme,2021,GENZYME CORPORATION,2021/08/06-,58468-0426,EO144CP0X9,AVALGLUCOSIDASE ALFA,AVALGLUCOSIDASE ALFA,EO144CP0X9
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,BLA,761049,BAVENCIO,AVELUMAB,11/5/2024,Programmed Death Ligand-1 Blocker,2017,EMD SERONO INC,2017/03/23-,44087-3535,KXG2PJ551I,avelumab,avelumab,KXG2PJ551I
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAVENOUS,BLA,761411,NIKTIMVO,AXATILIMAB-CSFR,8/16/2024,,2024,INCYTE CORPORATION,2024/08/14-,50881-012,R96Z451BMC,AXATILIMAB,AXATILIMAB,R96Z451BMC
HUMAN PRESCRIPTION DRUG LABEL,"POWDER, FOR SUSPENSION",INTRAVESICAL,BLA,102821,TICE BCG,BACILLUS CALMETTE-GUERIN,10/29/2024,Live Attenuated Bacillus Calmette-Guerin Immunotherapy; Live Attenuated Bacillus Calmette-Guerin Vaccine; Live Attenuated Intravesical Bacillus Calmette-Guerin Vaccine,,MERCK SHARP AND DOHME LLC,1990/08/24-,0052-0602,2XQ558L16Z,BACILLUS CALMETTE-GUERIN SUBSTRAIN TICE LIVE ANTIGEN,BACILLUS CALMETTE-GUERIN SUBSTRAIN TICE LIVE ANTIGEN,2XQ558L16Z
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS,BLA,103764,Simulect,BASILIXIMAB,7/3/2024,Interleukin-2 Receptor Blocking Antibody,,NOVARTIS PHARMACEUTICALS CORPORATION,1998/05/12-,0078-0331; 0078-0393,9927MT646M,BASILIXIMAB,BASILIXIMAB,9927MT646M
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRADERMAL; SUBCUTANEOUS,BLA,102223,Bayberry Pollen; Jack Pine Pollen; Redwood Pollen,BAYBERRY POLLEN; JACK PINE POLLEN; REDWOOD POLLEN,11/19/2009,Non-Standardized Pollen Allergenic Extract,,ANTIGEN LABORATORIES INC,1974/03/23-,49288-0079; 49288-0445; 49288-0643,LC8MEV9S89; NBV527E8B4; YM2P5UN502,MORELLA CERIFERA POLLEN; PINUS BANKSIANA POLLEN; SEQUOIA SEMPERVIRENS POLLEN,MORELLA CERIFERA POLLEN; PINUS BANKSIANA POLLEN; SEQUOIA SEMPERVIRENS POLLEN,LC8MEV9S89; NBV527E8B4; YM2P5UN502
HUMAN PRESCRIPTION DRUG LABEL,GEL,TOPICAL,BLA,103691,REGRANEX,BECAPLERMIN,12/11/2023,Human Platelet-derived Growth Factor,1997,SMITH AND NEPHEW INC,2011/11/01-,50484-810,1B56C968OA,BECAPLERMIN,BECAPLERMIN,1B56C968OA
